,iteration,objective,outcome_rewards
763,763,0.014484391,-28.56105
764,764,0.021913651,-29.513145
765,765,0.016907122,-29.124016
766,766,0.02148363,-29.26581
767,767,0.018663725,-28.709099
768,768,0.023861947,-29.330172
769,769,0.01641959,-29.259117
770,770,0.02521198,-28.646067
771,771,0.008308137,-28.408436
772,772,0.023499615,-28.861324
773,773,0.013875812,-28.840458
774,774,0.021591987,-29.446297
775,775,0.014555203,-29.581814
776,776,0.021787738,-29.312626
777,777,0.01588389,-29.250097
778,778,0.024285663,-28.827461
779,779,0.025068749,-28.34467
780,780,0.023645202,-28.92575
781,781,0.022840466,-28.703066
782,782,0.022631181,-29.410366
783,783,0.012347122,-28.02063
784,784,0.020158472,-28.761194
785,785,0.020620305,-29.66637
786,786,0.023410046,-29.111572
787,787,0.010772455,-29.155952
788,788,0.022631168,-28.760853
789,789,0.025488887,-28.608238
790,790,0.021975331,-29.186705
791,791,0.018608054,-28.82774
792,792,0.028262384,-29.497427
793,793,0.01803088,-28.093418
794,794,0.02234954,-28.499786
795,795,0.019920986,-27.96205
796,796,0.0197651,-28.876247
797,797,0.021097288,-28.654993
798,798,0.018789858,-28.837082
799,799,0.021507395,-28.670832
800,800,0.019110238,-28.514584
801,801,0.023499588,-28.950436
802,802,0.022352556,-29.114
803,803,0.018678058,-28.772102
804,804,0.009612597,-29.730135
805,805,0.022085413,-28.817497
806,806,0.01601485,-28.957012
807,807,0.026030015,-28.341457
808,808,0.024379402,-28.1689
809,809,0.016328402,-28.959204
810,810,0.02237662,-28.685246
811,811,0.011504284,-28.660212
812,812,0.014249163,-29.251457
813,813,0.019940082,-29.354073
814,814,0.022948392,-28.769854
815,815,0.024006128,-29.628109
816,816,0.017332584,-29.892206
817,817,0.016810726,-28.945398
818,818,0.021863008,-29.68883
819,819,0.022636658,-29.285553
820,820,0.0184345,-28.285961
821,821,0.024242781,-28.791508
822,822,0.018618526,-28.799314
823,823,0.020500867,-28.85153
824,824,0.01384294,-29.39032
825,825,0.0193114,-29.059532
826,826,0.014170507,-29.370132
827,827,0.02196952,-28.722645
828,828,0.027867058,-29.328726
829,829,0.018682377,-29.752853
830,830,0.0145482635,-28.954784
831,831,0.02276508,-29.418037
832,832,0.01996445,-29.647573
833,833,0.021538416,-29.104963
834,834,0.02003899,-28.80001
835,835,0.024414798,-29.42073
836,836,0.019572733,-29.109703
837,837,0.019011866,-28.812885
838,838,0.016664516,-28.42538
839,839,0.023458859,-28.686897
840,840,0.02523436,-28.402699
841,841,0.012910626,-28.787758
842,842,0.009167808,-29.071754
843,843,0.023460584,-28.932322
844,844,0.017159382,-28.919502
845,845,0.016637295,-29.017189
846,846,0.020385725,-28.12484
847,847,0.018591765,-27.969398
848,848,0.018844571,-28.748413
849,849,0.01786767,-28.047882
850,850,0.013995551,-28.480015
851,851,0.0127977,-29.604185
852,852,0.018656597,-29.23064
853,853,0.0029515438,-29.241161
854,854,0.0175232,-28.52781
855,855,0.018395055,-29.405964
856,856,0.024548959,-28.725376
857,857,0.018094996,-29.193748
858,858,0.02589748,-29.473145
859,859,0.015527086,-29.016914
860,860,0.019534852,-29.208467
861,861,0.026848339,-29.321625
862,862,0.015425447,-29.118835
863,863,0.017975602,-28.29272
864,864,0.019283084,-29.539742
865,865,0.01810361,-27.777615
866,866,0.017008329,-29.436798
867,867,0.011059127,-29.274605
868,868,0.024819188,-29.040693
